Sample,Year,Area,Easting,Northing,Temperature,pH,O2,HCO3-,Fe+2,HS-,SiO2,Li+,Na+,NH4+,K+,Mg+2,Ca+2,F-,Cl-,NO2-,Br-,NO3-,SO4-2,HPO4-2,H2,CH4,CO
100803T1,2010.0,Norris Geyser Basin,522849.14,4953153.43,81.1,2.95,1.046875e-05,0.0012911052158333,2.990152193375112e-05,3.520920133794965e-07,0.0049400798934753,0.0009145656245497,0.0185647798375007,0.0001485033259423,0.0021289928206597,BDL,0.000178402115874,0.0002355263157894,0.0211368124118476,BDL,2.62815378454145e-05,BDL,0.0019081823860087,BDL,NM,NM,NM
100803U1,2010.0,Norris Geyser Basin,522846.32,4953162.9,21.6,2.496,NM,0.0009066756345833,4.118173679498657e-06,BDL,0.0047403462050599,0.0006841665466071,0.0167726783161675,BDL,0.0020686832931355,3.40670643900432e-05,0.0002033035580617,0.0002368421052631,0.0165303244005641,BDL,2.08112234681618e-05,0.0001191841289962,0.0048094940662086,BDL,NM,NM,NM
100804W1,2010.0,Norris Geyser Basin,523033.0,4952621.0,90.1,6.962,1.521875e-05,7.151119166666667e-05,1.790510295434199e-07,5.281380200692447e-07,0.0054843541944074,0.0007295778706238,0.0161028151261545,BDL,0.0010339145180225,BDL,0.0002013573531613,0.000318947368421,0.0170634696755994,BDL,2.0149179014817784e-05,4.354494564139286e-06,0.0003362481782219,BDL,NM,NM,NM
100804X1,2010.0,Norris Geyser Basin,523040.0,4952616.04,66.8,2.98,6.875e-05,7.013746458333333e-05,1.9695613249776183e-05,1.8191420691273987e-06,0.0144890146471371,0.0002795562599049,0.0063215076236738,7.993348115299335e-05,0.0008002905497169,7.438798601110882e-06,5.983332501621837e-05,0.0001194736842105,0.0065049365303244,BDL,8.00961153384061e-06,1.2418373386619446e-05,0.0009447220487195,BDL,NM,NM,NM
100804Z1,2010.0,Norris Geyser Basin,523030.0,4952607.0,87.1,2.943,9.375e-06,1.545610625e-05,9.328558639212176e-05,BDL,0.0025948735019973,0.0001936176343466,0.0079078654509316,0.000185864745011,0.0017043963548287,5.6218885003085785e-05,0.0001500324367483,4.105263157894737e-05,0.0078194640338504,BDL,9.135963155786944e-06,1.809534407764548e-05,0.0022069539870914,BDL,NM,NM,NM
100804B1,2010.0,Norris Geyser Basin,523030.0,4952607.0,36.3,2.958,0.000134375,1.961639333333333e-05,1.2354521038495971e-05,1.1736400445983217e-07,0.0073735019973368,0.0006019305575565,0.0131536771857081,0.0001613082039911,0.0017333234437302,4.731536720839334e-06,0.0001015519736513,0.0002528947368421,0.0136530324400564,BDL,1.660742891469764e-05,4.03193941124008e-05,0.0019935457006037,BDL,NM,NM,NM
100804D1,2010.0,Norris Geyser Basin,523033.0,4952621.0,43.6,2.977,8.4375e-05,2.9703862500000003e-05,2.0232766338406445e-05,3.814330144944545e-07,0.009294274300932,0.0005529462613456,0.0125447106493327,0.0001490576496674,0.0016535245777949,4.628677226908044e-06,0.0001033734218274,0.0002233684210526,0.0128039492242595,BDL,1.314076892270725e-05,BDL,0.0019737663960024,3.158845715657556e-07,NM,NM,NM
100804 E1,2010.0,Norris Geyser Basin,523037.98,4952602.11,82.3,2.9,2.8125e-07,0.0001381022933333,BDL,2.9341001114958046e-08,0.0068075898801597,0.0003346780002881,0.0089635524393481,0.0001746119733924,0.0013381655979927,1.6239456901872045e-05,0.0001097110634263,8.578947368421052e-05,0.0091960507757404,BDL,1.150130156187425e-05,4.806071778198175e-06,0.001998750780762,BDL,NM,NM,NM
100805G1,2010.0,White Rock Springs,523860.56,4958604.42,21.1,6.917,0.00020625,0.0002491172583333,1.2533572068039392e-06,BDL,0.0016711051930758,6.221005618786919e-05,0.0019965402871164,1.297117516629712e-05,0.0008153807198778,0.0001442912980868,0.000338689555367,1.263157894736842e-05,0.0013822284908321,BDL,1.7946535843011614e-06,7.09621336378254e-06,0.0011242973141786,BDL,NM,NM,NM
100805H1,2010.0,White Rock Springs,523926.06,4958591.72,27.1,5.334,0.000121875,0.0006906929304166,8.415398388540734e-06,2.247520685405786e-05,0.0014946737683089,6.17951303846708e-05,0.0019882757412656,1.6175166297117515e-05,0.0008128230639183,0.0001435260234519,0.0003369429612256,1.2578947368421052e-05,0.0013822284908321,BDL,1.835953143772527e-06,6.08016463215004e-06,0.0011940453882989,BDL,NM,NM,NM
100803HA,2010.0,Geyser Creek,521591.0,4948273.0,64.0,7.668,4.6875e-05,0.00223167421625,BDL,BDL,0.0070489347536617,0.0004810546030831,0.0161376132139474,BDL,0.0006355775059273,2.0242748405677844e-06,0.0001364838564798,0.0008368421052631,0.0118758815232722,BDL,1.4642571085302364e-05,BDL,0.0012273579013116,BDL,NM,NM,NM
100803IA,2010.0,Geyser Creek,521591.0,4948273.0,82.6,6.085,1.315625e-05,0.00327999581625,BDL,3.784989143829588e-05,0.0071770972037283,0.0003344042645151,0.011290979043765,4.0465631929046566e-05,0.0004665164470066,BDL,8.558311292978691e-05,0.0005778947368421,0.0087390691114245,BDL,1.0137164597517022e-05,BDL,0.0007734749115136,BDL,NM,NM,NM
100803JA,2010.0,Geyser Creek,521520.3,4948218.5,74.6,8.547,6.562500000000001e-05,0.0050588799575,BDL,4.8999471861979926e-05,0.0106924101198402,0.000510877395188,0.022487394283953,BDL,0.0006238122885138,BDL,2.120864314586556e-05,0.001078947368421,0.0123413258110014,BDL,1.4517420905086104e-05,BDL,0.0014230689152612,BDL,NM,NM,NM
100803KA,2010.0,Geyser Creek,521520.3,4948218.5,91.7,8.393,1.409375e-05,0.0050087866187499,BDL,7.95141130215363e-05,0.0090262982689747,0.000495836334822,0.0216035228540138,BDL,0.000589028167465,BDL,BDL,0.0010473684210526,0.0118674188998589,BDL,1.3766519823788549e-05,BDL,0.001364772017489,BDL,NM,NM,NM
100804MA,2010.0,Geyser Creek,521475.0,4948573.0,33.0,2.964,0.000125,0.0001749992183333,1.7905102954341987e-05,1.4670500557479022e-06,0.0089164447403462,2.7506123037026365e-05,0.002347739988166,0.0001089800443458,0.0006057552374399,1.2573544538160871e-05,4.783172813014621e-05,0.0001394736842105,0.0005083215796897,BDL,6.435222266720064e-07,4.1932169876896826e-07,0.0023579013116802,1.1582434290744375e-07,NM,NM,NM
100804NA,2010.0,Geyser Creek,521475.0,4948573.0,68.0,7.66,2.1875e-05,0.00551159968125,1.790510295434199e-07,1.1736400445983218e-05,0.0074517310252996,0.0004379052009796,0.0203394823149375,BDL,0.0005959338385556,BDL,2.220669694096512e-05,0.0009473684210526,0.0112270803949224,BDL,1.3128253904685624e-05,BDL,0.0015927545284197,BDL,NM,NM,NM
100804OA,2010.0,Geyser Creek,521550.26,4948248.8,42.1,6.477,8.125e-05,0.002522688185,2.3276633840644587e-06,1.3203450501731118e-06,0.0084953395472703,0.0002609710416366,0.0130340587589201,BDL,0.0006279045380489,8.599053692655832e-07,2.118369180098807e-05,0.0006684210526315,0.0068519040902679,BDL,9.348718462154586e-06,9.837932163425793e-07,0.0020622527586924,BDL,NM,NM,NM
100804QA,2010.0,Geyser Creek,521447.0,4948587.0,90.0,6.075,1.1875e-05,0.000693661925,BDL,1.5110615574203393e-05,0.0088981358189081,0.0014426739662872,0.0254491465312243,0.0001574279379157,0.0013967359194645,BDL,0.000140725585109,0.0006947368421052,0.0234612129760225,BDL,3.128754505406488e-05,BDL,0.0016635436185717,BDL,NM,NM,NM
100804RA,2010.0,Geyser Creek,521558.97,4948147.33,78.7,6.375,2.8125e-05,0.0013433584249999,BDL,1.4963910568628605e-05,0.005565912117177,3.753061518513183e-05,0.0061244634515466,0.0001047671840354,0.000244000378533,BDL,2.2955237287289786e-05,0.0005315789473684,0.0002087447108603,BDL,5.631758109731678e-07,1.1289430351472224e-06,0.0019352488028315,BDL,NM,NM,NM
110713S,2011.0,GOPA,544478.91,4939776.12,63.0,3.892,1.490625e-05,0.002351544625,1.826320501342883e-05,1.907165072472273e-06,0.0071737683089214,0.0004020030862027,0.017261717295376,BDL,0.000971496504281,BDL,0.000180361787847,0.001048947368421,0.0131960507757404,BDL,1.3528734481377653e-05,1.2902206115968256e-06,0.0036976889444097,1.4109510863270417e-06,NM,NM,NM
110713T,2011.0,GOPA,544545.66,4939787.78,31.4,4.705,0.000175,0.0092894263666666,1.7905102954341989e-06,4.401150167243706e-07,0.0026631158455392,4.025221466647457e-05,0.0026205564728162,BDL,0.0004099669411841,0.0002791206483439,0.000394043177666,0.0004157894736842,0.0006882933709449,BDL,7.008410092110533e-07,9.354099434076984e-07,0.0014116177389131,4.948858287863504e-07,NM,NM,3.63518380099146e-07
110713U,2011.0,GOPA,544532.72,4939788.99,76.4,5.17,1.7874999999999997e-05,0.0015963716,8.594449418084152e-06,5.574790211842028e-06,0.004668774966711,3.756448724967584e-05,0.0029830100715496,BDL,0.0006697055562006,0.0004306440787903,0.0006412326732072,0.0002524210526315,0.0007500705218617,BDL,8.798057669203045e-07,9.67665458697619e-07,0.0021440766187799,BDL,NM,NM,NM
110713W,2011.0,GOPA,544478.91,4939776.12,45.2,3.847,0.000103125,0.0003881576109166,1.7188898836168305e-05,3.6382841382547975e-06,0.0073152463382157,0.0004652214441723,0.0187860160896092,BDL,0.0011324179467854,2.895522346842213e-05,0.0002378038452018,0.000838947368421,0.0119858956276445,BDL,1.387915498598318e-05,9.999209739875395e-07,0.0035967103893399,1.031889600448135e-06,NM,NM,NM
110713X,2011.0,GOPA,544545.66,4939787.78,36.1,5.122,5.3125e-05,0.0029178841666666,7.162041181736795e-06,3.4035561293351327e-06,0.0025549267643142,4.041343005330644e-05,0.0026454246972642,BDL,0.0004125019255057,0.0002841679085784,0.0003987872386596,0.0004157894736842,0.0007128349788434,6.412346484077819e-08,1.063776531838206e-06,1.935330917395238e-06,0.0014418072038309,1.095066514761286e-06,NM,NM,NM
110713Z,2011.0,GOPA,544599.62,4939894.35,24.3,3.961,3.75e-05,0.0023656472333333,BDL,3.1981691215304263e-06,BDL,3.062816488978534e-05,0.0019960895364585,BDL,0.0006495681004161,0.000388120546369,0.0006201180029193,0.0002526315789473,0.0001306064880112,BDL,2.865939126952343e-07,9.67665458697619e-07,0.0022069539870914,3.3694354300347265e-06,NM,NM,NM
JRH110713K,2011.0,GOPA,544532.18,4939792.16,43.1,2.778,NM,0.0029644301333333,BDL,6.5723842497506015e-06,BDL,0.0002582674827114,0.0122993448148609,BDL,0.0010206470390656,0.0002278737690598,0.0005076763928963,0.0008842105263157,0.0075317348377997,BDL,8.823087705246296e-06,6.451103057984128e-07,0.004840724547158,1.0213601147292762e-05,NM,NM,NM
JRH110713M,2011.0,GOPA,544551.8,4939855.19,60.9,5.072,NM,0.001503051,BDL,2.670031101461182e-06,BDL,0.0002644646820919,0.0132204992917675,BDL,0.0009449123843849,5.625382662003703e-05,0.0002064909739607,0.0008894736842105,0.0080930888575458,BDL,9.411293552262715e-06,6.934935787332936e-07,0.0024620029148448,1.0424190861669936e-06,NM,NM,NM
JRH110713N,2011.0,GOPA,544636.91,4939909.73,50.2,5.995,NM,0.0052533805041666,BDL,3.6382841382547975e-06,BDL,0.0001482749263074,0.0085478955547226,BDL,0.0014530198332203,0.0001511667421518,0.0004424560350067,0.0002673684210526,0.0031999999999999,BDL,3.404084901882259e-06,3.354573590151746e-06,0.0026223193837185,1.1845671433715838e-07,NM,NM,NM
110715M,2011.0,Sylvan Springs,518216.0,4949775.0,54.9,3.545,2.8125e-05,0.0042495695833333,7.699194270367055e-06,5.046652191772783e-05,0.0022636484687083,4.14471769197522e-06,0.0006150707922511,3.1056458952328163e-05,0.0001670649485015,1.859335803332648e-05,5.9701527683517145e-05,2.5789473684210525e-05,1.55148095909732e-05,BDL,BDL,1.6611590374309126e-06,0.0005496564647095,BDL,NM,NM,NM
110715R,2011.0,Sylvan Springs,518440.07,4949577.98,77.7,5.285,2.6125e-05,0.0026051750316666,1.4503133393017011e-05,1.0856170412534475e-05,0.0064414114513981,0.0007648111061806,0.0182003996668257,0.0001216348215077,0.0006090883908916,BDL,0.0001733312161285,0.000998947368421,0.0131396332863187,BDL,1.2515018021625953e-05,6.11242014743996e-06,0.0012148657089319,2.419675818193688e-06,NM,NM,NM
110715S,2011.0,Sylvan Springs,518443.63,4949602.38,47.7,5.555,6.562500000000001e-05,5.568498924343984e-06,3.581020590868398e-07,7.335250278739511e-07,0.0072902796271637,0.0007545983463477,0.0185187926239711,0.0001591877491685,0.0007451481043421,BDL,0.0001590651675233,0.00083,0.014002820874471,BDL,1.727072486984381e-05,3.177168256057182e-07,0.0021053508224026,2.3796637724620257e-06,NM,NM,NM
110709J,2011.0,Amphitheater Springs,521452.5005,4960848.305,67.1,2.311,9.375e-06,0.001422130975,8.075201432408237e-05,3.066134616513115e-05,0.0063165778961384,6.944215725399798e-05,0.0024426766130838,0.0001658295155487,0.0005437350481862,9.33830576013166e-05,0.0003312730164803,1.4e-05,0.0011063469675599,BDL,1.1638966760112134e-06,6.064036874505079e-06,0.0070112429731417,4.211794287543408e-07,NM,NM,NM
110709R,2011.0,Amphitheater Springs,521450.436,4960884.664,73.9,2.29,1.875e-05,0.0009367987666666,BDL,1.5990845607652132e-05,BDL,BDL,0.0017117066230055,0.0002164678947524,0.0006523652647813,7.03714221765069e-05,0.0001625924509872,4.966842105263158e-05,0.0001032440056417,BDL,1.3391069283139768e-07,2.596568980838611e-07,0.0072808661253383,4.390795544764003e-07,NM,NM,NM
110718F,2011.0,Amphitheater Springs,521609.6997,4960381.833,28.1,2.73,6.562500000000001e-05,0.0001899976916666,2.148612354521038e-06,4.987970189542867e-07,0.00405292942743,6.621281227488835e-06,0.0033847588793084,0.000138904142705,0.0001680670562786,6.54850507097305e-06,9.00467557013823e-06,0.0001021052631578,0.0004826516220028,BDL,4.0048057669203044e-07,1.4514981880464284e-06,0.0027180512179887,BDL,NM,NM,NM
110718G,2011.0,Amphitheater Springs,521616.0087,4960388.352,63.4,7.047,2.1875e-05,0.0022574622333333,1.790510295434199e-07,1.5169297576433308e-05,0.0036950732356857,BDL,0.0045208997802457,BDL,0.0001584939345316,BDL,1.318465372523579e-05,0.0001784210526315,0.0003921015514809,BDL,BDL,3.870661834790476e-06,0.0008630022902352,BDL,NM,NM,NM
110718H,2011.0,Amphitheater Springs,521609.4894,4960384.146,61.8,6.784,0.0002125,0.0022254232916666,1.2533572068039392e-06,1.93063787336424e-05,0.0031874167776298,BDL,0.0044387487105242,5.783447824279379e-05,7.699633212952993e-05,BDL,BDL,0.000171,0.000428772919605,BDL,3.554265118141771e-07,3.4835956513114286e-06,0.0008499895898396,BDL,NM,NM,NM
110718I,2011.0,Amphitheater Springs,521585.7494,4960394.411,56.3,4.3,0.000103125,0.0048771486166666,BDL,0.000239422569098,BDL,5.400661792248956e-06,0.00229807007528,8.493009060421287e-05,0.0013234407481655,0.0001644468698004,0.0003985936051574,3.773684210526316e-05,0.0002829337094499,BDL,2.878454144973969e-07,3.225551528992064e-07,0.0020612117426608,BDL,NM,NM,NM
110718J,2011.0,Amphitheater Springs,521585.7494,4960394.411,53.3,3.571,0.000103125,0.0005236641333333,BDL,4.929288187312951e-05,BDL,5.405027157470105e-06,0.0023546164908834,8.74975992239468e-05,0.0013516676627372,0.0001804808262291,0.000393478479989,3.3789473684210526e-05,0.0002820874471086,BDL,3.047406888265919e-07,5.483437599286508e-07,0.0022746200291484,BDL,NM,NM,NM
110718K,2011.0,Amphitheater Springs,521614.2211,4960382.779,70.6,4.74,2.1875e-05,0.0003502269262333,1.7905102954341989e-06,2.1125520802769788e-05,0.0037283621837549,BDL,0.0039497060843021,6.226275044345898e-05,0.0003875006644662,3.820039333470479e-06,2.431401359848296e-05,0.00013,0.0003083215796897,BDL,3.379054865839007e-07,4.838327293488095e-07,0.0019836560483031,BDL,NM,NM,NM
110718L,2011.0,Amphitheater Springs,521612.013,4960381.833,71.6,6.07,9.375e-06,0.0010225020333333,1.790510295434199e-07,1.1149580423684057e-05,0.0037366844207723,6.0361867886471694e-06,0.0043171190536973,5.4775561419068735e-05,0.0002983077617824,3.3427814852910927e-06,1.9880925445381504e-05,0.0001494736842105,0.000330042313117,BDL,3.310222266720065e-07,1.0483042469224207e-06,0.0015354986466791,BDL,NM,NM,NM
110718M,2011.0,Amphitheater Springs,521582.4171,4960399.017,41.7,4.64,3.75e-05,0.0003256855833333,4.476275738585497e-06,3.491579132680007e-06,0.0028295605858854,BDL,0.0029812752197292,7.351441183481153e-05,0.0011086775067969,0.0001131823040732,0.000280654512538,4.789473684210526e-05,0.000304090267983,BDL,2.9410292350820985e-07,6.451103057984128e-07,0.00210493441599,BDL,NM,NM,NM
110718N,2011.0,Amphitheater Springs,521584.5733,4960394.411,40.5,4.777,5.3125e-05,0.0022170403833333,5.013428827215757e-06,8.949005340062202e-05,0.0036368175765645,5.3196668347500365e-06,0.0028037903120514,6.39687602827051e-05,0.0011676270885818,0.0001251287293149,0.0002998609479889,4e-05,0.0003018335684062,BDL,BDL,9.434738222301788e-07,0.0021028523839267,BDL,NM,NM,NM
110718O,2011.0,Amphitheater Springs,521585.85,4960389.31,35.1,5.944,0.00010625,0.0003804946333333,2.6857654431512977e-06,3.344874127105217e-06,0.0032290279627163,5.561820919175912e-06,0.0027926032471879,4.9020218680709535e-05,0.0012091629775719,0.00013152313777,0.0003145573772643,3.6842105263157895e-05,0.0003021156558533,BDL,BDL,1.5643924915611508e-06,0.0020955652717051,BDL,NM,NM,NM
110718P,2011.0,Amphitheater Springs,521612.1181,4960394.766,55.5,5.95,NM,0.0002764538742862,8.952551477170994e-07,9.095710345636992e-06,0.0029377496671105,5.361385247082552e-06,0.0040508008814268,5.7266791435698455e-05,0.0003793601368985,3.494938490022629e-06,1.9320058074255204e-05,0.0001421052631578,0.0003385049365303,7.8252363873492e-08,5.2563075690829e-07,6.128547905084921e-07,0.0018009577347491,2.411252229618601e-07,NM,NM,NM
110718Q,2011.0,Amphitheater Springs,521616.5328,4960385.711,67.4,3.9,NM,0.0010878137833333,3.760071620411817e-06,1.8778240713573147e-05,0.0039114513981358,BDL,0.0037466651418507,6.093065920177384e-05,0.00041055575025,4.349818267846122e-06,2.574721098857228e-05,0.0001257894736842,0.0002933709449929,BDL,3.028634361233481e-07,5.160882446387301e-07,0.0019113054341036,BDL,NM,NM,NM
110718R,2011.0,Amphitheater Springs,521612.9593,4960381.833,39.9,3.45,NM,9.562009425732334e-05,2.8648164726947183e-06,1.3144768499501205e-05,0.0034953395472703,BDL,0.0036920611276476,5.670300399113082e-05,0.0005211319490745,3.620339230610985e-06,2.221789197315235e-05,0.0001021052631578,0.0003187588152327,3.3691990001086834e-08,4.630556668001602e-07,3.870661834790477e-07,0.0020508015823443,3.369435430034726e-07,NM,NM,NM
110718S,2011.0,Amphitheater Springs,521614.2211,4960375.524,33.4,2.852,2.8125e-05,0.0005950416166666,6.624888093106535e-06,2.488116894548442e-05,0.0031208388814913,BDL,0.0020633223869278,8.344119484478937e-05,0.0006352061296654,2.395335505040116e-05,0.0001389976142522,4.368421052631579e-05,0.0001856135401974,BDL,2.0024028834601522e-07,1.935330917395238e-06,0.0024387882573391,1.1582434290744375e-07,NM,NM,NM
110718T,2011.0,Amphitheater Springs,521558.6287,4960420.143,42.7,2.745,7.5e-05,0.0003076271083333,9.668755595344673e-06,3.0808051170705943e-06,0.0037949400798934,1.505690203140758e-05,0.0027746916761466,0.0001034396949556,0.0012959311629064,0.0001006913613454,0.0004475210577997,3.531578947368421e-05,0.0003605077574047,3.52135637430714e-08,3.466659991990389e-07,1.3386038845317064e-06,0.0040318550905683,BDL,NM,NM,NM
110718U,2011.0,Amphitheater Springs,521564.0733,4960419.933,38.7,2.823,7.5e-05,0.0004006557583333,5.908683974932856e-06,4.723901179508245e-06,0.0029627163781624,5.762492220141191e-06,0.0022698012508433,8.772319293237251e-05,0.0010708028205957,0.0001029568097716,0.0002861256036229,3.147368421052632e-05,0.0002425952045133,BDL,3.028634361233481e-07,1.4434343092239484e-06,0.0027576514678326,BDL,NM,NM,NM
110714F,2011.0,Geyser Creek,521520.3,4948218.5,91.1,7.918,4.75e-06,0.0053683202125,1.790510295434199e-07,7.892729299923713e-05,0.0054011318242343,0.0005050763920904,0.0223562158213725,BDL,0.0006422698168462,BDL,6.749358734842058e-05,0.0010863157894736,0.0108377997179125,BDL,1.2139567480977172e-05,1.6934145527208337e-05,0.0013075161357484,1.1687729147932956e-06,NM,NM,NM
110714H,2011.0,Geyser Creek,521443.0,4948588.0,86.2,5.273,2.5e-05,0.0001463612416666,3.2229185317815574e-06,3.6382841382547975e-06,0.0036118508655126,0.0003657258141478,0.0092136962533203,0.0003779980144124,0.0003200748297112,BDL,6.858857057903762e-05,0.0002504736842105,0.0043779971791255,BDL,4.948438125750901e-06,4.709305232328413e-07,0.0024849052675411,2.105897143771704e-07,NM,NM,NM
110714J,2011.0,Geyser Creek,521476.29,4948601.56,61.2,4.08,2.5e-05,0.00099965805,3.4556848701880034e-05,1.2616630479431955e-05,0.0048768308921438,0.0005590882035729,0.013505128149004,0.0001289350819937,0.000679717071356,7.749361448261675e-06,0.0001152170786965,0.0005515789473684,0.0098758815232722,BDL,1.0137164597517022e-05,BDL,0.0020539246304393,BDL,NM,NM,NM
110714P,2011.0,Geyser Creek,521427.0,4948625.0,85.6,6.114,1.25e-05,0.0019460829624999,3.581020590868398e-07,7.77536529546388e-06,0.0049434087882822,0.0008754923058637,0.0173874188103521,5.297218902439025e-05,0.0007507807936342,BDL,0.0001834585102487,0.000678947368421,0.0132778561354019,BDL,1.2515018021625953e-05,BDL,0.0011349156777014,5.26474285942926e-07,NM,NM,NM
110714Q,2011.0,Geyser Creek,521424.0,4948595.0,72.4,2.381,2.709375e-05,0.0009695961921666,1.0743061772605193e-05,2.053870078047064e-06,0.0044607190412782,0.0001955425946693,0.0053052467302651,0.0001678455796895,0.0003849107884076,1.5782999086607694e-05,8.748610204102e-05,0.0001151578947368,0.0022820874471086,BDL,2.865939126952343e-06,4.838327293488095e-07,0.0048008536331459,1.052948571885852e-07,NM,NM,NM
110719M,2011.0,Norris Geyser Basin,522849.14,4953153.43,64.7,2.728,2.8125e-05,0.0003191421833333,3.939122649955237e-05,2.464644093656476e-06,0.0052762982689747,0.0004571013168131,0.0098774984371852,7.732372387749446e-05,0.0010447474269661,BDL,9.246753755177404e-05,0.0001471052631578,0.0087983074753173,BDL,1.3053163796555866e-05,5.378607174594265e-07,0.0015490318550905,1.474128000640193e-07,NM,NM,NM
110719N,2011.0,Norris Geyser Basin,522887.57,4953201.57,76.6,2.85,1.059375e-05,0.0010916396654166,3.563115487914056e-05,7.628660289889092e-06,0.0059087882822902,0.0005244545656245,0.0105775820800983,0.0001068657699556,0.0012709220514702,BDL,9.73195644493238e-05,0.0001594736842105,0.0102950634696755,BDL,1.3391069283139768e-05,3.128784983122302e-07,0.0016593795544451,1.5794228578287777e-07,NM,NM,NM
110719O,2011.0,Norris Geyser Basin,522849.14,4953153.43,73.5,2.785,1.24375e-05,0.0009581236166666,3.2229185317815576e-05,2.576139897893316e-05,0.0051764314247669,0.0004562285489602,0.0099386270196248,7.694006721175167e-05,0.0010607741509861,BDL,0.0001287125758936,0.0001273684210526,0.0089478138222849,BDL,1.1513816579895876e-05,6.822041483818214e-07,0.0016562565063501,BDL,NM,NM,NM
110719P,2011.0,Norris Geyser Basin,522976.52,4953273.41,84.6,4.085,1.33125e-05,0.0005915431329166,1.969561324977619e-06,1.977583475148172e-05,0.0087050599201065,0.0006903213144119,0.0170109767563707,0.0004949883203991,0.0015020421497439,BDL,0.0001639580006487,0.0004036842105263,0.0165021156558533,BDL,2.0724869843812576e-05,2.080480736199881e-06,0.0007518217780553,BDL,NM,NM,NM
110719R,2011.0,Norris Geyser Basin,522887.57,4953201.57,53.1,2.873,4.0625e-05,1.5664850026888498e-05,3.724261414503134e-05,2.200575083621853e-06,0.0056757656458055,0.0005638759939489,0.0107970635053357,0.0001106760041019,0.0012958165663468,1.531576545978194e-05,0.0001134418734467,7.894736842105263e-05,0.0105190409026798,BDL,1.4016820184221068e-05,5.338287780481865e-07,0.001665625650635,1.179302400512154e-07,NM,NM,NM
110719X,2011.0,Norris Geyser Basin,523037.98,4952602.11,81.1,2.817,1.9875e-05,0.0001726649,6.875559534467322e-05,6.220292236371105e-06,0.0067243675099866,0.0003131352992364,0.0087017600306988,0.0001329293679046,0.0013474372086561,1.862979298086813e-05,0.0001199963674235,9.578947368421052e-05,0.0081043723554301,BDL,1.047507008410092e-05,3.5481066818912697e-07,0.0019706433479075,1.1582434290744375e-07,NM,NM,NM
110719Y,2011.0,Norris Geyser Basin,523033.0,4952621.0,87.0,7.267,1.15e-05,0.0001055485166666,8.952551477170994e-07,9.095710345636994e-07,0.0052679760319573,0.0009220617928492,0.0205778447652446,BDL,0.0013409856737164,BDL,0.0002633242109137,0.0004152631578947,0.0191537376586741,BDL,2.6644473368041648e-05,2.9707329582016905e-06,0.000400791172184,BDL,NM,NM,NM
110719Z,2011.0,Norris Geyser Basin,523062.9,4952640.7,84.3,6.694,1.415625e-05,0.000135073025,3.581020590868398e-07,BDL,0.0053179094540612,0.0008700020642558,0.0196032844813708,5.364549711751664e-05,0.0013212340806633,BDL,0.0002562190861819,0.0004210526315789,0.0172919605077574,BDL,2.5530636764116944e-05,3.14168718923827e-06,0.0003851759317093,3.959086630290803e-07,NM,NM,NM
110719B,2011.0,Norris Geyser Basin,523033.0,4952621.0,72.4,7.537,5.9375e-05,6.9929e-05,1.074306177260519e-06,1.467050055747902e-07,0.0051597869507323,0.0009541021601114,0.0218034515237335,BDL,0.0013860758102185,BDL,0.0002787555507427,0.0004910526315789,0.0204033850493653,BDL,2.7658189827793355e-05,9.837932163425793e-07,0.0004164064126587,1.2635382862630222e-06,NM,NM,NM
110708B,2011.0,Rabbit Creek,515019.72,4929805.64,57.4,4.039,4.6875e-05,0.0001146295416666,6.803939122649955e-06,2.69937210257614e-06,0.0023918109187749,0.000143856205806,0.0029100118289139,8.154293057095344e-05,0.0004284380409634,5.2695554412672295e-06,4.433702013573532e-05,0.000278947368421,0.0013258110014104,BDL,1.6895274329195037e-06,3.693256500695913e-06,0.0011347074744951,BDL,NM,NM,NM
110708D,2011.0,Rabbit Creek,515111.22,4929727.14,55.5,4.636,NM,0.0001834995833333,2.2381378692927485e-05,0.0001229387946716,0.0045938748335552,BDL,0.0003379794285014,2.555927663525499e-05,0.0001765960247248,4.210762497428513e-06,1.785703156345127e-05,1.7894736842105264e-05,1.3822284908321576e-05,BDL,BDL,3.0642739525424606e-06,0.0002764938580054,BDL,NM,NM,NM
110710V,2011.0,Rabbit Creek,514756.0,4928884.0,85.8,8.163,NM,0.0056945800875,BDL,2.053870078047064e-06,0.0022719707057256,0.0006313044966863,0.0152877923223152,BDL,0.0003254987131409,BDL,5.950358232696242e-05,0.001278947368421,0.0075373765867418,BDL,9.186023227873448e-06,9.079927554112655e-06,0.000146679158859,5.26474285942926e-07,NM,NM,NM
110710W,2011.0,Rabbit Creek,515178.0,4928389.0,82.5,4.585,1.8875e-05,0.0001201200333333,1.969561324977619e-06,1.0269350390235314e-05,0.0042609853528628,7.0240137588243775e-06,0.0012059199160939,8.782298370288248e-05,0.0005054580268579,BDL,3.4907581279005937e-05,0.0001947368421052,2.284908321579689e-05,BDL,BDL,6.451103057984128e-07,0.0008015823443681,BDL,NM,NM,NM
110710Y,2011.0,Rabbit Creek,515150.61,4928514.81,60.8,4.866,3.4375e-05,0.0010027691333333,3.2229185317815574e-06,1.657766562995129e-05,0.004776964047936,5.170023915862268e-06,0.0008620450810532,2.660168816518847e-05,0.0002602501871436,5.12882915038058e-06,2.4838378586755825e-05,9.263157894736844e-05,1.3201692524682652e-05,BDL,BDL,1.257965096306905e-06,0.0004757443264626,1.3793626291704662e-06,NM,NM,NM
